client_id,cin,nom,prenom,age,ville,profession,revenu_mensuel,date_creation,statut_kyc
56,12823170,Pruvost,Françoise,67,Gabès,Employé,1751,2023-02-07,RISQUE
57,88979095,Vasseur,Aimé,36,Monastir,Retraité,1284,2021-10-01,A_VERIFIER
58,94705205,Lopez,Michel,27,Ariana,Commerçant,2231,2021-09-20,RISQUE
59,14216175,Rémy,David,43,Bizerte,Indépendant,3131,2025-07-09,A_VERIFIER
60,41944441,Lopes,Marguerite,67,Tunis,Retraité,1858,2025-04-11,RISQUE
61,38754377,Gimenez,Gilles,24,Bizerte,Ouvrier,936,2026-01-02,RISQUE
62,87337818,Reynaud,Patrick,27,Sousse,Cadre,4141,2025-03-03,OK
63,64634663,Aubert,Étienne,55,Monastir,Commerçant,1925,2021-12-21,OK
64,98447167,Perret,Adrienne,32,Sfax,Indépendant,2062,2024-10-01,A_VERIFIER
65,65177213,Bigot,Nathalie,25,Monastir,Commerçant,2661,2021-08-10,RISQUE
66,97705310,Imbert,Eugène,24,Kairouan,Ouvrier,1180,2021-08-30,OK
67,64038913,Petitjean,Yves,69,Sousse,Ouvrier,990,2022-01-28,OK
68,43374088,Olivier,Laurent,52,Monastir,Indépendant,3602,2025-09-16,OK
69,70211891,Joly,Audrey,24,Ben Arous,Indépendant,3153,2022-09-16,A_VERIFIER
70,47385696,Pinto,Paul,45,Sfax,Etudiant,196,2021-10-15,A_VERIFIER
71,69476001,Dias,Eugène,48,Kairouan,Fonctionnaire,2252,2021-07-30,RISQUE
72,97529405,Gimenez,Virginie,30,Sousse,Retraité,2037,2021-04-09,A_VERIFIER
73,22517517,Chrétien,Claude,24,Gabès,Commerçant,2336,2023-02-27,RISQUE
74,32321899,Cordier,Claire,68,Nabeul,Etudiant,380,2025-03-29,OK
75,38688676,Maréchal,Charles,58,Monastir,Etudiant,31,2022-07-19,RISQUE
76,60864911,Bernard,Amélie,24,Kairouan,Employé,1728,2023-05-27,OK
77,71070189,Renault,Audrey,25,Gabès,Employé,1568,2025-11-15,OK
78,98834863,Wagner,Claire,46,Ariana,Commerçant,2235,2022-06-18,RISQUE
79,35487660,Collet,Martin,58,Gabès,Commerçant,2385,2021-08-23,OK
80,87736262,Guyon,Élodie,47,Gabès,Ouvrier,734,2021-08-31,RISQUE
81,52091325,Boyer,Benoît,37,Sousse,Cadre,4121,2026-02-11,RISQUE
82,73993471,Gaudin,Dominique,36,Sfax,Cadre,4458,2025-08-31,A_VERIFIER
83,31130263,Boyer,Danielle,63,Sfax,Employé,1870,2021-10-29,A_VERIFIER
84,34941004,Muller,Jeannine,69,Ariana,Cadre,3947,2021-09-22,OK
85,41568532,Antoine,Georges,60,Gabès,Retraité,1293,2025-12-28,OK
86,43046464,Delorme,Jeannine,55,Sousse,Ouvrier,933,2021-06-26,RISQUE
87,93131979,Faure,Astrid,29,Nabeul,Fonctionnaire,2409,2026-02-10,OK
88,85863473,Barbe,Thomas,44,Sfax,Commerçant,2476,2023-05-14,OK
89,37415205,Laroche,Michelle,55,Sfax,Retraité,1382,2023-10-27,RISQUE
90,42035886,Aubry,Anastasie,63,Kairouan,Etudiant,292,2022-04-05,A_VERIFIER
91,96637649,Ribeiro,Céline,29,Sfax,Ouvrier,1012,2023-11-02,OK
92,19736572,Petit,Céline,68,Kairouan,Ouvrier,1129,2025-12-08,OK
93,23419256,Legrand,Élise,39,Gabès,Fonctionnaire,1951,2022-12-17,OK
94,77898694,Aubry,Gilles,34,Sfax,Cadre,4058,2024-02-12,RISQUE
95,19233013,Moulin,Alexandrie,37,Tunis,Retraité,1425,2023-07-28,OK
96,31172421,Navarro,Victoire,38,Tunis,Indépendant,1875,2025-10-07,OK
97,50603163,Raymond,Susan,70,Ben Arous,Cadre,4422,2025-08-24,RISQUE
98,11049999,Martineau,Thérèse,31,Monastir,Fonctionnaire,2223,2025-11-12,RISQUE
99,50181935,Dupré,François,56,Tunis,Indépendant,2903,2022-04-16,OK
100,45496015,Ferreira,Franck,65,Ben Arous,Ouvrier,968,2025-11-07,RISQUE
101,30863865,Maillard,Roland,44,Gabès,Etudiant,132,2022-12-09,RISQUE
102,56020613,Martins,Marianne,48,Ben Arous,Employé,1458,2023-05-24,OK
103,77834855,Camus,Philippe,44,Tunis,Fonctionnaire,2052,2021-07-30,A_VERIFIER
104,22388090,Couturier,Audrey,64,Sousse,Commerçant,2042,2023-07-02,RISQUE
105,15917225,Bernard,Xavier,43,Kairouan,Ouvrier,978,2022-04-05,A_VERIFIER
106,95511909,Charles,Isaac,36,Ben Arous,Employé,1637,2024-11-26,OK
107,84045292,Munoz,Aurélie,22,Ben Arous,Indépendant,4220,2025-12-01,RISQUE
108,11297845,Marie,Denis,47,Sousse,Cadre,4351,2022-06-01,A_VERIFIER
109,83227889,Da Silva,Victoire,65,Ariana,Employé,1605,2024-04-15,A_VERIFIER
110,88183110,Courtois,William,51,Sousse,Etudiant,243,2024-10-20,OK
111,27105448,Dupont,Thibault,43,Sfax,Retraité,942,2024-03-31,OK
112,15354599,Pelletier,Marc,22,Sousse,Commerçant,2339,2023-04-09,A_VERIFIER
113,99514287,Henry,Adrienne,38,Ariana,Cadre,4285,2025-11-28,A_VERIFIER
114,64543049,Legendre,Océane,62,Kairouan,Cadre,5686,2022-06-18,A_VERIFIER
115,41774346,Goncalves,Susanne,22,Ariana,Cadre,4137,2022-08-27,A_VERIFIER
116,65337219,Laurent,Joseph,58,Sfax,Employé,1615,2023-12-22,OK
117,65259205,Laroche,Nathalie,59,Bizerte,Ouvrier,995,2023-04-05,A_VERIFIER
118,45810056,Leroux,Simone,48,Gabès,Cadre,3568,2022-01-24,RISQUE
119,61343880,Morel,Charlotte,45,Gabès,Ouvrier,1152,2023-01-15,OK
120,36786211,Jacques,Adèle,23,Bizerte,Fonctionnaire,2363,2023-09-29,OK
121,40547349,Hubert,André,44,Bizerte,Commerçant,2653,2022-10-16,OK
122,63481198,Boulanger,Roger,60,Nabeul,Cadre,3719,2021-09-26,RISQUE
123,47463522,Marty,Lucy,67,Sfax,Ouvrier,1187,2025-06-24,RISQUE
124,63643924,Potier,Zoé,63,Bizerte,Fonctionnaire,1752,2025-09-15,A_VERIFIER
125,54446182,Leroy,Gabriel,65,Sfax,Indépendant,3310,2023-05-15,RISQUE
126,33966966,Blin,Rémy,33,Bizerte,Employé,2024,2021-06-21,RISQUE
127,24549543,Godard,Bernadette,64,Ben Arous,Indépendant,2206,2024-02-02,RISQUE
128,52101056,Nguyen,Julie,46,Kairouan,Fonctionnaire,1989,2025-06-30,OK
129,25521714,Collin,Hortense,39,Sousse,Fonctionnaire,2178,2022-10-06,A_VERIFIER
130,44188276,Bertrand,Mathilde,50,Monastir,Cadre,3956,2024-11-08,A_VERIFIER
131,10226999,Dijoux,Susan,53,Monastir,Commerçant,1755,2025-09-22,RISQUE
132,36445607,Marchal,Aurore,63,Ariana,Employé,1564,2021-09-28,A_VERIFIER
133,99152472,Rémy,Laurence,26,Sousse,Cadre,3630,2023-10-26,RISQUE
134,99038359,Denis,Michelle,35,Sousse,Fonctionnaire,2284,2023-09-14,OK
135,78064830,Ruiz,Margot,23,Sousse,Etudiant,173,2024-08-14,A_VERIFIER
136,53779528,Antoine,Marthe,50,Bizerte,Ouvrier,1206,2023-08-30,RISQUE
137,84411983,Rodriguez,Léon,66,Bizerte,Commerçant,2049,2024-09-21,A_VERIFIER
138,99245317,Gillet,Margaret,36,Ben Arous,Indépendant,2674,2022-08-17,RISQUE
139,92613013,Colas,Thibaut,69,Ariana,Etudiant,317,2024-08-07,A_VERIFIER
140,83542887,Martin,Thibaut,32,Kairouan,Commerçant,1878,2023-08-03,A_VERIFIER
141,38210242,Perret,Simone,56,Sousse,Etudiant,268,2026-01-29,OK
142,91424737,Bègue,Tristan,29,Monastir,Retraité,1963,2025-02-06,RISQUE
143,69295515,Pichon,Margot,69,Monastir,Cadre,3312,2022-12-18,RISQUE
144,78608612,Reynaud,Stéphanie,56,Monastir,Indépendant,3029,2022-08-04,OK
145,98429450,Clément,Roland,49,Sfax,Retraité,1632,2025-07-13,OK
146,99100953,Couturier,Laure,70,Kairouan,Fonctionnaire,2371,2023-12-31,A_VERIFIER
147,22534217,Hamel,Noël,38,Monastir,Commerçant,1875,2023-10-15,OK
148,40150759,Philippe,William,36,Sfax,Fonctionnaire,1775,2021-05-09,A_VERIFIER
149,16202700,Moulin,Christelle,55,Ariana,Cadre,4554,2021-10-07,OK
150,71124923,Legros,Louise,35,Bizerte,Employé,1614,2026-01-16,RISQUE
151,36096655,Wagner,Marthe,66,Sousse,Employé,1604,2024-05-30,OK
152,76354180,Alexandre,Patrick,47,Nabeul,Indépendant,3142,2022-05-27,RISQUE
153,98054615,Lagarde,Aimé,47,Tunis,Retraité,1334,2022-01-20,OK
154,67062156,Vasseur,Joseph,45,Gabès,Indépendant,3062,2025-07-21,RISQUE
155,72350830,Girard,Frédérique,69,Gabès,Etudiant,274,2023-04-08,A_VERIFIER
156,26288475,Pineau,Grégoire,21,Nabeul,Retraité,1323,2025-02-05,A_VERIFIER
157,99600766,Laporte,Gabrielle,47,Kairouan,Indépendant,4206,2023-11-05,RISQUE
158,69401199,Raymond,Sylvie,52,Sousse,Commerçant,2531,2025-06-10,A_VERIFIER
159,67276174,Lévy,Caroline,52,Tunis,Indépendant,2066,2022-07-02,A_VERIFIER
160,73709724,Lebreton,Raymond,63,Bizerte,Cadre,4632,2023-04-02,RISQUE
161,95585469,Baron,Pauline,50,Ben Arous,Employé,1338,2025-07-31,RISQUE
162,75041510,Toussaint,Olivier,46,Gabès,Etudiant,315,2023-06-26,RISQUE
163,69038700,Garnier,Michèle,26,Bizerte,Etudiant,346,2023-07-30,OK
164,41473195,Maillard,Xavier,32,Tunis,Retraité,1290,2023-11-13,A_VERIFIER
165,82498004,Faure,Guillaume,41,Sousse,Indépendant,3574,2022-06-06,A_VERIFIER
166,41039390,Jacob,Marine,42,Bizerte,Cadre,4490,2022-06-12,A_VERIFIER
167,38716269,Andre,Arnaude,37,Ariana,Indépendant,3475,2024-08-12,A_VERIFIER
168,54410148,Allard,Chantal,68,Kairouan,Etudiant,408,2024-09-06,OK
169,18357162,Leclerc,Victoire,35,Ariana,Cadre,4106,2024-09-20,RISQUE
170,62274692,Pires,Isabelle,69,Tunis,Etudiant,187,2021-04-24,OK
171,87267850,Gillet,Christiane,22,Gabès,Commerçant,2009,2021-03-13,OK
172,57212267,Léger,Odette,29,Monastir,Commerçant,2037,2024-06-18,RISQUE
173,66240084,Tanguy,Océane,57,Sousse,Ouvrier,989,2025-10-16,A_VERIFIER
174,90967191,Vasseur,Claire,70,Nabeul,Fonctionnaire,2246,2023-01-05,OK
175,46632757,Nguyen,Claire,70,Ben Arous,Ouvrier,1036,2021-05-24,A_VERIFIER
176,62191530,Marques,Marguerite,58,Tunis,Ouvrier,1110,2024-08-02,A_VERIFIER
177,32151928,Bigot,Gilbert,46,Sousse,Indépendant,2909,2025-09-09,OK
178,13619375,Carlier,Jeanne,27,Sfax,Commerçant,2907,2025-12-12,RISQUE
179,98986321,Michel,Émile,57,Tunis,Ouvrier,964,2024-10-16,A_VERIFIER
180,28213276,Pinto,Jules,63,Nabeul,Indépendant,4804,2021-07-29,OK
181,44917589,Gillet,Victor,21,Bizerte,Cadre,4614,2022-12-12,A_VERIFIER
182,71028710,Millet,Yves,48,Nabeul,Ouvrier,885,2024-05-15,RISQUE
183,47346970,Chrétien,Véronique,66,Ben Arous,Retraité,1210,2024-09-24,A_VERIFIER
184,43859311,Faure,Charlotte,67,Kairouan,Employé,1654,2021-04-24,RISQUE
185,82399599,Roux,Adèle,60,Kairouan,Fonctionnaire,2086,2023-01-20,A_VERIFIER
186,97260863,Muller,Renée,48,Gabès,Retraité,1776,2021-06-28,A_VERIFIER
187,14164775,Hoarau,Luc,36,Ariana,Cadre,4526,2021-04-27,A_VERIFIER
188,93394260,Brunet,Olivier,36,Monastir,Retraité,1526,2022-03-22,RISQUE
189,73560289,Laroche,Gabriel,42,Tunis,Indépendant,2307,2025-12-11,A_VERIFIER
190,39254705,Turpin,Martine,32,Monastir,Cadre,3366,2023-04-30,OK
191,59512272,Brun,Julie,37,Nabeul,Cadre,3989,2022-02-13,A_VERIFIER
192,31980274,Langlois,Franck,56,Tunis,Fonctionnaire,2392,2026-01-25,RISQUE
193,13446499,Langlois,Hortense,26,Sousse,Commerçant,2432,2024-05-04,RISQUE
194,63238057,Auger,Louis,52,Kairouan,Indépendant,2027,2021-10-17,OK
195,89470029,Blot,Véronique,62,Monastir,Retraité,1604,2023-03-19,A_VERIFIER
196,23676961,Grenier,Pénélope,26,Sfax,Etudiant,282,2023-09-17,OK
197,90585882,Mathieu,Stéphanie,65,Sousse,Indépendant,2281,2025-12-17,A_VERIFIER
198,15512205,Perrot,Élisabeth,51,Kairouan,Cadre,4339,2024-10-15,RISQUE
199,98787891,Lemaître,Daniel,48,Kairouan,Cadre,4283,2025-06-13,A_VERIFIER
200,96911784,Leblanc,Alexandre,65,Monastir,Cadre,3583,2024-09-20,A_VERIFIER
201,75793759,Gautier,Aurore,37,Sousse,Fonctionnaire,2251,2024-03-24,OK
202,95306788,Jacques,Mathilde,41,Ariana,Commerçant,2564,2022-06-13,RISQUE
203,68450095,Schmitt,Nath,33,Sousse,Employé,1784,2025-08-02,RISQUE
204,97302916,Dupuy,Laetitia,38,Gabès,Retraité,1883,2025-09-22,RISQUE
205,74893936,Turpin,Bernadette,27,Sousse,Fonctionnaire,1759,2023-06-06,A_VERIFIER
206,53258988,Moulin,Véronique,44,Ben Arous,Commerçant,1990,2021-11-19,A_VERIFIER
207,47437115,Lebreton,Patrick,66,Kairouan,Etudiant,292,2025-02-05,OK
208,86483924,Bourdon,Marguerite,23,Tunis,Fonctionnaire,2295,2024-05-15,RISQUE
209,55150390,Leroy,Clémence,65,Ben Arous,Fonctionnaire,2295,2023-11-29,RISQUE
210,34406132,Coulon,Marcel,27,Tunis,Retraité,2500,2024-03-01,RISQUE
211,44675473,Leblanc,Roger,51,Monastir,Fonctionnaire,2311,2023-07-01,A_VERIFIER
212,84597009,Dubois,Diane,32,Tunis,Cadre,4912,2022-10-09,A_VERIFIER
213,21490777,Guillot,Michelle,28,Ariana,Retraité,1852,2024-08-08,A_VERIFIER
214,75575808,Berthelot,Patricia,25,Gabès,Retraité,1756,2023-03-11,RISQUE
215,73900135,Imbert,Michèle,30,Ben Arous,Etudiant,223,2025-04-27,RISQUE
216,70152969,Durand,Éric,26,Sousse,Fonctionnaire,2365,2023-08-26,OK
217,39742165,Lebon,Marine,59,Gabès,Indépendant,2359,2023-03-20,RISQUE
218,51098277,Dupré,Inès,70,Kairouan,Commerçant,2259,2024-04-14,A_VERIFIER
219,73519947,Lenoir,Éléonore,49,Sfax,Retraité,1396,2024-01-27,RISQUE
220,67110154,Vallet,Emmanuelle,40,Gabès,Indépendant,2957,2023-12-17,RISQUE
221,57219209,Boutin,Cécile,60,Ariana,Etudiant,442,2023-06-14,OK
222,51154241,Deschamps,Nicolas,37,Ariana,Commerçant,1634,2022-03-04,OK
223,35848226,Gomes,Georges,32,Kairouan,Commerçant,2613,2025-09-14,OK
224,34850391,Olivier,Martin,21,Bizerte,Employé,1200,2025-04-07,A_VERIFIER
225,47111151,Ramos,Jacqueline,39,Tunis,Retraité,1400,2025-08-10,OK
226,90099897,Carre,Eugène,66,Sfax,Fonctionnaire,2458,2022-10-19,RISQUE
227,49761527,Dumas,Agnès,25,Sousse,Retraité,1570,2022-09-03,A_VERIFIER
228,50569669,Garcia,Mathilde,48,Ariana,Commerçant,1936,2025-09-09,RISQUE
229,26989677,Paris,Benjamin,62,Ben Arous,Commerçant,2075,2021-08-11,A_VERIFIER
230,84270583,Klein,Marthe,25,Tunis,Employé,1697,2022-03-22,OK
231,95613415,Chrétien,Claudine,59,Gabès,Fonctionnaire,1943,2022-01-07,A_VERIFIER
232,11646234,Baudry,Roland,28,Monastir,Retraité,1618,2025-02-20,RISQUE
233,74251933,Besnard,Zacharie,65,Bizerte,Fonctionnaire,2162,2022-09-18,A_VERIFIER
234,16895666,Fleury,Christiane,49,Ariana,Retraité,1343,2022-02-12,RISQUE
235,18770247,Maréchal,Claudine,48,Nabeul,Etudiant,428,2021-10-11,RISQUE
236,87446468,Lombard,Marianne,22,Ariana,Fonctionnaire,2329,2021-08-08,OK
237,30364454,Gérard,Suzanne,69,Sfax,Etudiant,81,2025-12-07,RISQUE
238,50780112,Clément,Paul,69,Ben Arous,Etudiant,265,2022-02-26,A_VERIFIER
239,84903294,Salmon,Arnaude,38,Ben Arous,Retraité,1340,2023-01-25,RISQUE
240,80138498,Gillet,Catherine,61,Monastir,Indépendant,3496,2024-11-29,OK
241,49910061,Pruvost,Aurélie,43,Bizerte,Retraité,1299,2023-09-29,A_VERIFIER
242,86320155,Legendre,Charles,63,Ariana,Cadre,4183,2021-12-28,OK
243,37888820,Toussaint,Marcel,47,Monastir,Cadre,4544,2023-05-26,A_VERIFIER
244,98641164,Faure,Hugues,69,Kairouan,Indépendant,3506,2023-03-10,OK
245,33328859,Courtois,Denis,26,Nabeul,Retraité,1169,2022-06-24,A_VERIFIER
246,10359129,Lejeune,Catherine,28,Bizerte,Cadre,4054,2025-02-21,RISQUE
247,49092160,David,Nicolas,63,Kairouan,Etudiant,210,2023-08-07,A_VERIFIER
248,47945817,Boutin,Cécile,24,Sousse,Indépendant,2442,2021-10-02,RISQUE
249,41329612,Aubry,Simone,60,Monastir,Cadre,5279,2022-10-30,RISQUE
250,67061186,Noël,Émilie,69,Tunis,Retraité,1678,2023-01-22,OK
251,96924061,Gérard,René,56,Ben Arous,Fonctionnaire,1792,2022-05-10,A_VERIFIER
252,19584466,Lopez,Jacques,65,Monastir,Retraité,1840,2023-10-06,OK
253,89865458,Bouvet,Valérie,61,Gabès,Etudiant,426,2025-12-27,OK
254,48736657,Navarro,Gérard,40,Kairouan,Employé,1773,2025-02-18,OK
255,50814428,Bonnin,Anne,26,Sousse,Indépendant,1836,2023-06-18,OK
256,77172238,Gimenez,Clémence,28,Ben Arous,Retraité,1396,2024-11-14,A_VERIFIER
257,20796722,Joseph,Augustin,53,Sfax,Fonctionnaire,2508,2024-10-27,A_VERIFIER
258,53261270,Texier,Philippe,51,Sousse,Retraité,1325,2021-05-14,A_VERIFIER
259,22257687,Rolland,Margot,45,Sousse,Employé,1646,2026-01-15,RISQUE
260,88802305,Lefebvre,Paulette,25,Sfax,Employé,1717,2023-06-10,A_VERIFIER
261,87342561,Fournier,Paulette,53,Sfax,Cadre,3709,2022-08-21,OK
262,73149551,Paul,Manon,67,Sfax,Fonctionnaire,2133,2024-11-27,RISQUE
263,47333543,Arnaud,Isabelle,30,Monastir,Retraité,600,2024-11-08,RISQUE
264,95199362,Marin,Éric,43,Nabeul,Retraité,1225,2025-02-22,RISQUE
265,56702542,Lejeune,Xavier,50,Nabeul,Indépendant,2723,2023-11-17,OK
266,99943797,Duval,Isaac,57,Bizerte,Commerçant,1871,2023-12-14,OK
267,65250068,Lemonnier,Clémence,23,Nabeul,Indépendant,4042,2023-08-07,RISQUE
268,98930456,Maréchal,Sylvie,66,Bizerte,Retraité,1097,2025-10-29,A_VERIFIER
269,14925405,De Sousa,Emmanuel,52,Tunis,Employé,1454,2023-10-28,OK
270,43876400,Breton,Gabriel,27,Monastir,Cadre,4326,2024-08-01,OK
271,79067939,Martin,Margaux,21,Ben Arous,Retraité,2006,2025-10-05,A_VERIFIER
272,72005415,Pasquier,Bernard,25,Monastir,Employé,1238,2022-09-28,A_VERIFIER
273,79583757,Étienne,Laurence,60,Bizerte,Cadre,4928,2025-05-21,RISQUE
274,93940940,Pichon,Patricia,42,Kairouan,Ouvrier,1001,2021-08-02,A_VERIFIER
275,37321124,Da Costa,Emmanuelle,61,Monastir,Cadre,3677,2022-04-06,RISQUE
276,48658617,Navarro,Marthe,60,Ariana,Etudiant,288,2025-04-08,OK
277,26297533,Leroy,Louise,35,Ariana,Fonctionnaire,2206,2023-03-08,A_VERIFIER
278,31257157,Langlois,Françoise,69,Ariana,Ouvrier,919,2021-04-06,A_VERIFIER
279,84121929,Cordier,Éric,65,Sfax,Employé,1565,2023-01-22,OK
280,25228493,Pinto,Georges,41,Tunis,Etudiant,217,2022-06-16,A_VERIFIER
281,76890827,Auger,Stéphane,44,Bizerte,Cadre,4316,2025-06-23,OK
282,46698468,Legros,Victoire,54,Bizerte,Commerçant,2603,2025-04-02,RISQUE
283,73380266,Berger,Cécile,31,Ben Arous,Employé,1893,2025-11-01,OK
284,29413516,Jacob,Laurent,60,Sousse,Indépendant,2033,2025-06-21,A_VERIFIER
285,28321839,Muller,Robert,35,Monastir,Employé,2012,2024-09-04,RISQUE
286,55617282,Guillou,René,50,Sfax,Fonctionnaire,1596,2021-03-02,RISQUE
287,47962005,Pages,Théophile,50,Sfax,Etudiant,237,2026-02-20,RISQUE
288,87835998,Delmas,Claudine,25,Monastir,Employé,1677,2022-05-30,A_VERIFIER
289,69934576,Tanguy,Christine,61,Bizerte,Fonctionnaire,2229,2024-01-31,RISQUE
290,54619335,Courtois,Paulette,50,Sfax,Fonctionnaire,1973,2025-10-08,OK
291,60628276,Pineau,Tristan,51,Ariana,Indépendant,2754,2022-10-02,OK
292,42051937,Masse,Alice,57,Nabeul,Indépendant,2554,2023-02-18,RISQUE
293,65133300,Bertrand,Timothée,65,Sfax,Fonctionnaire,1983,2025-03-03,OK
294,61167978,Collin,Margaud,38,Tunis,Indépendant,3494,2022-06-10,RISQUE
295,76481885,Da Silva,Gilbert,59,Monastir,Etudiant,279,2025-06-02,A_VERIFIER
296,89212676,Rémy,Eugène,59,Nabeul,Commerçant,2084,2024-11-21,OK
297,23383077,Laine,Cécile,60,Sfax,Commerçant,2694,2021-04-11,RISQUE
298,29348212,Lejeune,Marcelle,61,Ariana,Employé,1616,2022-06-17,RISQUE
299,20043277,Lelièvre,Sabine,40,Monastir,Etudiant,317,2023-05-27,OK
300,55440919,Ferrand,Marine,67,Ben Arous,Cadre,4617,2024-07-11,OK
301,97219599,Faure,Dominique,41,Bizerte,Fonctionnaire,1915,2023-12-10,OK
302,81621574,Gillet,Timothée,29,Kairouan,Commerçant,2135,2025-04-19,A_VERIFIER
303,82613940,Da Silva,Laure,31,Sfax,Fonctionnaire,2361,2021-09-23,A_VERIFIER
304,41510328,Lefort,Marianne,68,Nabeul,Fonctionnaire,2322,2023-08-04,OK
305,40532691,Letellier,Éric,25,Ben Arous,Retraité,1543,2024-11-02,OK
306,23212812,Samson,Luce,56,Nabeul,Indépendant,2982,2022-01-01,OK
307,69549527,Brun,Marine,21,Sfax,Indépendant,3794,2023-09-11,RISQUE
308,13885234,Lambert,Victor,50,Nabeul,Ouvrier,921,2021-08-16,RISQUE
